decade,coef,ci_low,ci_high,n
1970s,-0.2640505161443003,-0.3086868729077242,-0.21941415938087644,2479
1980s,-0.40699659000605176,-0.45817545963291595,-0.3558177203791876,2823
1990s,-0.406742983971348,-0.4679431261539746,-0.3455428417887214,2006
2000s,-0.5044037023166604,-0.5612668769040433,-0.4475405277292776,2348
2010s,-0.7347086041476596,-0.7751545202348337,-0.6942626880604855,5940
2020s,-0.9475710963023104,-0.9960175276167046,-0.8991246649879162,5430
