decade,coef,ci_low,ci_high,n
1970s,0.25066340788775276,0.17617833519522563,0.3251484805802799,2479
1980s,0.3578270768171971,0.28504563099703156,0.43060852263736266,2823
1990s,0.351857599401583,0.2659363168653556,0.4377788819378104,2006
2000s,0.40728626577212035,0.329263593958668,0.4853089375855727,2348
2010s,0.19723911229724478,0.15007744204991355,0.244400782544576,5940
2020s,-0.001465439696630201,-0.0485697006201801,0.045638821226919694,5430
